MOD	WorldsCollide	11	0	Reskinned vanilla joker pack (mult/chip growth, retrigger, destroy-on-select); no unusual shapes.
MOD	Wormhole	197	9	Sprawling 197-joker space-themed collab; huge but almost entirely reskinned +mult/+chips/create-consumable shapes.
C	Wormhole	Gravacard	Gain $ based on how many cards are to the right when held; X1.25 Blind Size when drawn	A card in the Entrance pays out based on the count of cards positioned to its right in that row	C12	type
C	Wormhole	Catelite	Boost adjacent cards' Spacetart by 1 level	A skill card raises the level/stat of every card orthogonally adjacent to it	C10	skill
C	Wormhole	Gleebleglorp	X2 Mult if played poker hand is not your highest-level hand	A skill pays more when the completed line is a hand type other than your most-leveled one, rewarding NOT playing your best hand	B6	skill
C	Wormhole	Astral Stair	Gives Mult equal to Mult of most played poker hand; changes to Chips at end of round	A skill mirrors the current bonus value of whichever hand type has completed most often this show, then converts that mirrored value from mult to points at show end	A10	skill
C	Wormhole	Perseids	Each card in poker hand retriggers a random card in poker hand	Each card in a completed line triggers a rescoring of a different random card in that same line rather than itself	A5	skill
C	Wormhole	Devil's Machine	Rescore all played cards in reverse order; 1 in 4 chance this card is destroyed at end of round	A skill rescores every card in the completed line in the reverse of the order they were placed into it	A5	skill
C	Wormhole	Dark Matter	X0.1 Mult for each card in full deck with most numerous suit; -X0.1 Mult for each card with second-most numerous suit	A skill scales up with your single most common suit across the whole deck and scales down with your second-most common suit, comparing the two counts against each other	C12	skill
C	Wormhole	SS Dolphin	All played hands contain every Poker Hand for 3 rounds, combining all base Chips and Mult values	A consumable makes every completed line simultaneously count as every hand type at once for a limited duration, summing all their base point values together	B1	consumable
C	Wormhole	The Shadow	Steals the levels of a random poker hand and applies it to your most played hand	A consumable strips leveling progress from one random hand type and transfers it onto whichever hand type has completed most often	B6	consumable
MOD	Wraith	6	0	Small Cryptid-mod expansion; standard mult/chip growth jokers, nothing shape-distinct.
MOD	XDmod	46	4	Joke-heavy 60-joker meme pack; mostly numeric reskins and unbalanced flavor text, a few real shapes underneath.
C	XDmod	Reverseprint	Creates a new copy of the Joker to the right and then kills itself	A skill card duplicates the skill card immediately to its right onto itself, then removes itself from the board, propagating its neighbor's talent one slot over	G3	skill
C	XDmod	Floppy Disk	1 in 6 to retrigger each card, odds increase by 1 when it does get triggered	A skill's own retrigger odds permanently improve by a fixed step every time that retrigger actually fires, so success accelerates future success	L2	skill
C	XDmod	Beams Up!	+2^0 Chips, power increases by 1 every played hand	A skill adds points equal to 2 raised to a power that increases by one with every line completed, growing exponentially rather than linearly	A4	skill
C	XDmod	/teleport @a	Gives you mult and chips based on cursor position	A skill's payout is computed from the literal screen/pointer position of the last tap or click rather than any board or card state	M6	skill
MOD	Yahimod	88	6	73-joker meme/streamer-tribute pack with heavy joke flavor text; most effects are numeric reskins, several distinct shapes buried in it.
C	Yahimod	(unnamed Lucky-miss joker)	Gains X0.25 Mult every time a scored Lucky card DOESN'T trigger; resets when a Lucky card triggers	A skill grows its bonus every time a probability check on a scored card FAILS, and resets the moment that check finally succeeds, rewarding misses instead of hits	L2	skill
C	Yahimod	Fortnite y Babagee?	Randomly copies the joker to its left or the joker to its right	A skill randomly borrows the talent of one of its two orthogonal neighbors each time it triggers, picking a side at random rather than a fixed one	H1	skill
C	Yahimod	Toasterball	If you have 2 Toasterball jokers, retriggers all jokers in between them	Two copies of the same skill card define a zone bounded between their two positions, and every skill card sitting inside that zone gets retriggered	C11	skill
C	Yahimod	Bluenemonial Printer	When the Joker to the right triggers, retriggers it, destroys it, and adds 1 to future retriggers	A skill permanently destroys the neighboring skill card the first time it fires, converting that destruction into a permanent +1 to its own future retrigger count	I4	skill
C	Yahimod	Guy Pointing At Caption	If you don't beat the Blind's required score, grants a Part 2 (+1 Hand and +1 Discard); once per round	A hazard grants a consolation resource bonus the one time you fall SHORT of its score requirement, rather than rewarding exceeding it	R9	hazard
C	Yahimod	(unnamed reverse-straight joker)	+40 Chips if played Straight is in reverse order (ex: 6 5 4 3 2)	A skill pays a bonus specifically when a completed straight's ranks run in descending rather than ascending order along the line	C13	skill
MOD	YeMod	0	0	Stub page listing only a Kanye-West-themed joker category with no effect rows present in this batch.
MOD	Yet Another Reversed Tarot mod	14	1	22 mirrored/reversed vanilla Tarot cards (letters and effects reversed); mostly suit-to-enhancement conversions already covered by the taxonomy.
C	Yet Another Reversed Tarot mod	(unnamed Devil reverse)	Select 2 cards, copy the rank and suit of the left card and the enhancement, seal, and edition of the right card	A consumable builds one recombined card by taking rank/suit from one chosen card and type/stamp from a different chosen card, splitting which slots come from which source	G5	consumable
MOD	Yggdrasil	0	0	Metaprogression skill-tree/crafting mod; stub page with no joker or card effect table in this batch.
MOD	ZBSMod	23	1	31-joker inside-joke pack, mostly flat mult/chip variants and copy-jokers with no real shape distinction.
C	ZBSMod	90 Degree Clockwise Rotated Joker	After scoring a hand, all cards in played hand have their suits rotated clockwise (Clubs -> Diamonds -> Hearts -> Spades -> Clubs)	A skill fires when a line completes and cycles every card in that line's suit one step around a fixed rotation order	G5	skill
MOD	ÞeAutumnCircus	137	7	Graveyard-centric 60+ joker mod (destroyed cards go to a Graveyard zone that many jokers read); largest source of genuinely grid/discard-shaped ideas in this batch.
C	ÞeAutumnCircus	Soulbound Card	Returns from your graveyard after each Boss Blind; gains X1 Mult permanently after returning	A type causes its card to cyclically leave the board into the discard pile and later return to the Entrance, gaining a permanent stat boost each time it comes back	G10	type
C	ÞeAutumnCircus	(Bottled)	This card will always be on top after shuffling	A per-card modifier pins that specific card to the top of its stock regardless of how many times the stock reshuffles	F4	stamp
C	ÞeAutumnCircus	Filler Card	This Joker gains X0.05 Chips for each scored card without any Enhancement, Seal, Edition, or Aspect	A skill scales up with the count of scored cards carrying no type or stamp at all, rewarding plain unmodified cards instead of modified ones	A3	skill
C	ÞeAutumnCircus	Common Ground	When round begins, draw an additional card for each different rank among cards in your graveyard	A skill refills extra cards into the Entrance based on how many distinct ranks are present among the cards sitting in the discard pile	F5	skill
C	ÞeAutumnCircus	Jokermancer	Each scored card gives +1 Mult for each card in your graveyard that shares a suit or rank with it	Every scoring card compares itself against every card in the discard pile and gains a bonus for each one that shares its suit or rank	C12	skill
C	ÞeAutumnCircus	Twisted Mind	Cards in your graveyard are scored as if they were held in your hand	A skill makes every card sitting in the discard pile passively contribute to line scoring as though it were still on the board	A1	skill
C	ÞeAutumnCircus	Cartowomancer	Rotate Tarot cards to 45 Degree Rotated Tarot cards and vice versa by petting them (direction matters)	A tap-to-activate consumable toggles between two alternate versions of itself, and which direction you tap determines which version it flips to	G9	consumable
