C	Showdown	White Queen / Black Queen	You cannot play your most played hand / Playing your most played hand upgrades it	Hazard denies scoring for whichever line type the player has completed most often this show, tracked live, rather than a fixed named hand	B3	hazard
C	Showdown	Sick Trick	Copy the leftest lowest rank card onto the card on its left	A skill copies the lowest-rank card among the leftmost cards onto the cell immediately to its left	G3	skill
C	Showdown	Color Splash	Unscored card get a random suit; have 4 unscored cards of different suits	A skill rerolls the suit only of cards NOT part of the line that just completed, rewarding variety among the un-spotlit cards	G6	skill
C	Showdown	Parmesan	Every played card permanently gains chips equal to the lowest played rank when scored	Every card in a completed line permanently gains flat points equal to the lowest rank present in that line	A1	skill
C	Showdown	Billiard	Retrigger cards next to 0 cards	A card's line re-scores itself whenever it is orthogonally adjacent to a specific rank/type of card on the grid	C10	skill
C	Showdown	matplotlib	Each joker on its right gives +5 Mult, each joker on its left gives +15 Chips	A skill card grants a different reward type depending on which direction (left vs right) the triggering card sits relative to it	C10	skill
C	Showdown	Thorn Photograph	First played Numbered card gives X1.75 Mult when scored	Only the first numbered card placed this show (by placement order, not the first in a line) carries a scoring bonus for the rest of the show	A7	skill
C	Showdown	(Logic card effect)	If hand and scored hand does not contain an Ace, creates an Ace and puts it in the deck	A consumable checks whether a specific rank is absent from the board and the Entrance stocks, and creates one only if it is missing	G1	consumable
C	Six Suits	Spectrum (poker hand)	Spectrum: 5 cards with different suits scores as a new hand type	A new line-completion type rewards a line where all five cards have distinct suits	B1	skill
C	Slay The Spire 2 Collab	Make It So	Every 3 scored cards give +1 Mult next, and increases this value by 1	A running counter of cards scored this show grants a bonus every 3rd card, and that bonus grows each time the threshold is hit	I4	skill
C	Slay The Spire 2 Collab	Unmovable	The last scoring card gives Mult equal to twice its Chip value	The last card scored in a completed line converts its own flat-point value directly into multiplier for that line	A10	skill
C	Slay The Spire 2 Collab	All For One	All enhanced cards are shuffled to the bottom of the deck	A skill reorders the Entrance stocks by card property, sending every card carrying a type/stamp to the bottom of its stock	F1	skill
C	Slugcat	Singularity Bomb (sticker)	If first hand of round has only 1 card, destroys your entire hand and wins the blind. One-time use	A stamp checks whether a line was completed using only a single placed card this show, and if so ends the show as an immediate win	U2	stamp
C	Slugcat	Abundance	At the start of Blind, if there are no empty Joker spaces, create 1 random Food card; if there are empty spaces, create a different card instead	A skill checks how many empty cells/slots remain on the board and creates a different kind of card depending on whether space is available	G1	skill
C	Slugcat	Family Power	If there are more Jokers than Enemies, all cards of a suit (which changes at start of blind) trigger 1 additional time	A skill compares two live counts on the board (e.g. two card classes) and, only while one outnumbers the other, retriggers every card of a rotating suit	A5	skill
C	Slugcat	(unnamed, Slugcat effect list)	At the start of Blind, the leftmost consumable card does a different action depending on its own type (Planet/Tarot/Spectral/Food/Weapon)	A skill reads the type of whatever consumable sits in a fixed reference slot and performs a different action branch depending on that type	G1	skill
C	Smallpox	Set Theory	Played cards with a rank that scored in the last played hand give X1.5 Mult when scored	A skill remembers every rank that scored in the previous completed line and gives bonus mult to any card of those same ranks in the current line	A9	skill
C	Smallpox	(unnamed suit-alternation joker)	Scored Hearts give X1.5 Mult when scored after a Spade; scored Spades give X1.75 Chips if scored after a Heart	A skill's bonus depends on the suit of the immediately preceding card scored, alternating which suit pays out based on sequence order	A9	skill
C	Smallpox	Functions	After scoring or using this Joker, randomize the scoring operator; can only be used once per round	A tap-skill randomly swaps which arithmetic operation (add vs multiply) is used to combine a line's points for the rest of the show	H9	skill
C	Smallpox	Scales of Justice	X1.5 Mult if the sum of the scored cards' ranks is even; extra Mult if equal numbers of Jokers are to the left and right	A skill checks whether the sum of ranks in a completed line is even, and separately checks for left/right positional symmetry on the board, each granting mult	C13	skill
C	Snow's Mods	Verdant Shift	Picks a season in order whenever a blind is selected; each season (Spring/Summer/Autumn/Winter) changes what suit gets enhanced or buffed	A skill cycles through four fixed modes each show, each mode rewarding or transforming a different suit, so its behavior rotates on a schedule rather than staying fixed	O3	skill
