C	Strange Pencil	Diseased Card	Infects adjacent scoring cards; destroyed after 5 rounds	A stamp that spreads to orthogonally adjacent cards in a completed line each time it scores, and expires after 5 shows	I11	status
C	Strange Pencil	Flagged Card	Shows its position in the deck; cannot be flipped	A stamp that always reveals which Entrance stock slot and depth it currently sits at	M5	stamp
C	Strange Pencil	Sneven (7~)	+7 Chips; can substitute or come after a 7 within a straight	A rank that can slot into a straight either as itself or immediately after a 7, giving the line an extra valid bridge point	B4	rank
C	Strange Pencil	The Flower	-1 Hand Selection Limit per hand played this round; causes Death if hand selection limit reaches 0	A hazard that shrinks the number of cells you may fill each placement as the show goes on, ending the show if it hits zero	R3	hazard
C	Strange Pencil	Fluorescent Star	Only the highest ranked card scores; ties broken by leftmost	A hazard that makes only the single highest-rank card in the completed line score, with a leftmost-card tiebreak on ties	A13	hazard
C	Strange Pencil	Solar Eclipse	Gains +1 Mult when a Club is scored; loses -1 Mult when a Heart is scored	A skill card that tracks a running net multiplier that rises when one suit completes a line and falls when an opposing suit does	A2	skill
C	Strange Pencil	Calendar	Adds current day of month to chips; adds current month to mult	A skill card whose flat points and multiplier are set by the real-world calendar date at the moment it triggers	K6	skill
C	Strange Pencil	(unnamed suit-proportion joker)	If scored hand does not contain your most common suit, gain XMult equal to the proportion of your deck which is that suit; otherwise reset	A skill card that pays a multiplier equal to the fraction of your Entrance stocks belonging to your single most common suit, but only when a completed line excludes that suit	F11	skill
C	Strange Pencil	Communist	Balance ranks of scored cards	A skill card that averages the ranks of every card in a completed line and rewrites each of their ranks to that average	G5	skill
MOD	Strange Pencil	~60	9	Balatro mod with card modifiers, boss blinds, jokers and a randomized-rank deck; art-style shitpost mod, some content gated behind a Cryptid dependency
MOD	Suikalatro	~15	0	Total conversion that replaces hand-building with a Suika-Game-style physics ball-drop box and merge chains; no card-placement or line-completion mechanic survives translation to a grid
MOD	Tangents	1	0	Stub page, shitpost joker/deck mod with 100+ items; wiki carries no effect text to mine
C	Tesseract	Blue Java	+200 Chips; only appears if Gros Michel is extinct	A skill card whose bonus only turns on once every copy of a named card type has been permanently removed from the Entrance stocks this run	F11	skill
C	Tesseract	Penrose	If played hand contains exactly three cards and one 3, transform played cards into that 3 (after scoring)	A skill card that, when a completed line has exactly three cards including one 3, rewrites every card in that line to match the 3	G9	skill
MOD	Tesseract	15	2	Small vanilla-balanced joker pack, mostly numeric variants and win-margin conditions that don't translate
