C	More Fluff	Joke Merge Valley	Discarding exactly 3 cards with the same rank Merges them all with the rightmost discarded card	Discarding exactly three cards of the same rank fuses them into one card, replacing the last of the three sent to the discard pile.	D8	skill
C	More Fluff	Missing Texture	Transforms into a random Joker for the duration of the Blind when Blind is selected	When a show starts this skill card temporarily takes on a random other skill card's talent for the show, then reverts when the show ends.	G9	skill
C	More Fluff	Doubled Scale	Scaling Jokers scale twice as fast	A skill card that doubles the per-trigger growth rate of every other growth-based skill card on the board.	H3	skill
C	More Fluff	(unnamed enhancement)	If first discard of round has only 1 card, shuffle all cards with matching rank or suit to the top of the deck	If the first card discarded this show is alone, shuffle every stock card sharing its rank or suit to the top of their stocks.	F4	skill
C	More Fluff	John Balatro..?	Starts with 1 loyalty +1: Exactly five selected cards without Mult bonuses get +4 Mult -11: Unleash John Balatro	A tap-to-activate skill banks charges and offers a menu of spends, from a cheap small buff up to one huge one-time ultimate.	I2	skill
C	More Fluff	Complexity Creep	Gains a random effect when spawned and when Boss Blind is selected	A skill card that accumulates an additional random talent each time a hazard begins, stacking distinct abilities over the show.	G6	skill
C	More Fluff	I Survive in Farm Merge Civilisation	At end of round, Merge all cards together, and convert them all to the result	At the end of a show, every card still on the board fuses into a single card carrying the combined result.	D8	skill
MOD	More Fluff	93	7	Large content mod (120+ skill cards, hazards, types, decks); table-heavy wiki entry, effects mostly listed directly.
MOD	More Mario Jokers	10	0	Small readd/expansion mod for Mario-themed skill cards; stub article, effects are mostly flat chip/mult reskins.
C	Morne	The Myriad	Hand must contain two or more unique suits to score	A hazard where a line only pays out if it contains at least two different suits.	B3	hazard
C	Morne	The Drab	Remove enhancements, editions and seals from played hand after scoring	A hazard that strips a card's type and stamp the moment its line finishes scoring.	G5	hazard
C	Morne	The Bile	Lowest ranked cards in played hand are debuffed	A hazard that debuffs whichever card in a completed line has the lowest rank, whatever rank that happens to be.	R1	hazard
C	Morne	Dopple-Joker	After hand is finished scoring, give first scored card last scored card's suit	When a line finishes scoring, the first card scored in it takes on the suit of the last card scored in it.	G5	skill
C	Morne	Blind Joker	1 in 7 cards are drawn face down Gains +5 Chips when face-down card is drawn	Gains flat points whenever a card enters the Entrance face-down instead of face-up.	M3	skill
C	Morne	Forbidden Schematic	Played 4s and 9s give their +Chips as +Mult instead	Cards of two specific ranks route what would be their flat-point bonus into the multiplier bucket instead.	A6	skill
C	Morne	Sinking Feeling	If scored card's +Chips is lower than the previous scored card's +Chips, grant the difference as +Mult	Compares each scored card's point value to the one scored just before it in the same line, and banks any shortfall as multiplier.	A13	skill
C	Morne	Apples to Oranges	Cards scored with Diamond suit directly after scored Heart suit give X2 Mult	A card of one suit scored immediately after a card of another specific suit within the same line gives bonus multiplier.	A13	skill
C	Morne	Dumpster Diver	Enhanced cards in first discard of round add their enhancement to a card in your hand	The first discard event of a show reads the type off each typed card being discarded and grants that type to a card waiting in the Entrance.	G5	skill
C	Morne	Eruption	Scored cards give X1.25 Mult if there are no other cards of the same rank and suit in your full deck	A scored card gives bonus multiplier only if no identical duplicate of it remains anywhere in the stocks.	F11	skill
MOD	Morne	33	10	Content mod adding boss hazards and skill cards; several hazards key off relative rank/suit composition of the scoring line itself.
C	Mossed	Four-Fold Symmetry	+51 Chips on every Odd-Numbered hand +15 Mult on every Even-Numbered hand	A skill card that alternates between granting flat points and multiplier depending on whether this show's completed-line count is odd or even.	C13	skill
