eid	origin	source	name	slot	rarity	groups	mechanic	status
E0523	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Epic (chain)	skill			Doubles the chance of Legendary cards appearing.	
E0524	designdocs	DESIGN_DOC.md §16 Economy & Shop	Escalating reroll cost	rule			Shop reroll/refresh costs increase with each use.	
E0525	designdocs	DESIGN_DOC.md §11 Class list	Escape Artist / Stuntsman class	unknown			Class mechanical focus: negative-effects (debuffs).	
E0526	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Escaramuza formation bonus	skill			A synchronized-formation bonus for symmetrical board states.	
E0527	designdocs	DESIGN_DOC.md §19 Meta Progression	Event-recycled prestige	unknown			An in-run event grants temporary prestige points to allocate, reusing the meta-progression system mid-run.	
E0528	designdocs	DESIGN_DOC.md §8 Rule Deck (vetoed)	Every deck as its own solitaire board	unknown			Vetoed: making every deck (draw/discard/rule) itself a playable solitaire board with no layout control, leading to unsolvable boards.	
E0529	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Exchange Voucher	skill			Usable from the deck: swap it with any card currently on screen.	
E0530	designdocs	DESIGN_DOC.md §16 Economy & Shop	Exponential price curve	rule			Card power/cost sits on an exponential curve: stronger cards are priced cheaper than linear scaling would suggest, since high cost trades off against flexibility.	
E0531	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Exposition City	boss			An enormous once-per-map goal where every suit is welcomed.	
E0532	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Exposure cost	rule			Revealing a Gaff's true nature (the player's own or a boss's) carries a cost.	
E0533	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Eye of God	skill			See all decks (including the rule deck) and their true descriptions.	
E0534	designdocs	DESIGN_DOC.md §8 Rule Deck	Eye of God true vision	unknown			A prestige unlock grants 'true vision': seeing all decks (including the rule deck) and true card descriptions.	
E0535	designdocs	DESIGN_DOC.md §7 Spotlight System	Eye stamp mini-art	stamp			The hidden-trigger (eye) stamp shows a miniature of the card's skill art inside the stamp icon.	
E0536	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	Face/heel alignment	rule			Cards have face/heel modes with different bonuses; towns prefer one alignment or the other.	
E0537	designdocs	DESIGN_RECOMMENDATIONS.md §6 Concessions	Fairy Floss	skill			When scored, adjacent cards gain +1 rank for this show.	
E0538	designdocs	DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe	Fame as antagonist reframe	rule			Rename the goal score to 'Fame needed'; overscore grants tips; no separate enemy HP is added.	
E0539	designdocs	DESIGN_DOC.md §2 Core Game Loop refinements	Fame banks at Continue	rule			Fame is only committed when the player presses Continue after a win, not at the outcome screen itself, so a win stays undoable until then.	
E0540	designdocs	DESIGN_DOC.md §15 Map (implemented)	Fame gates pack rarity	rule			Accumulated fame raises a run-wide luck value that gates stamp/skill/type rolls in packs.	
E0541	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	Fame improves offer rarity	unknown			Total accumulated fame improves the rarity odds of card offers.	
E0542	designdocs	DESIGN_DOC.md §5 Scoring (circus framing)	Fame/tips framing	rule			Scoring represents exciting the audience; cheering audio scales with score; overscoring pays out tips; the required score is the fame the show must earn.	
E0543	designdocs	DESIGN_REFERENCES.md §A11 South America	Family-tent deck	unknown			Starts weak, but gains a permanent heirloom card each finished tour.	
E0544	designdocs	DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia	Festival mini-contest node	unknown			Win any 1 of 3 mini-contests (score/formation/speed) for the prize.	
E0545	designdocs	DESIGN_DOC.md §11 Act types	Final Act	type			Deck-position type: shows up after all other cards are drawn, possibly carrying an extra multiplier.	
E0546	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	Fire breather	skill			Projects a Flames buff across an entire row, then Exhausts itself.	
E0547	designdocs	DESIGN_DOC.md §10 Suit-Props (implemented)	Fire = Burning status	suit			Fire drops a Burning status on its target, multiplying that card's own suit-effect prop count.	
E0548	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	Fire-knife dual-suit pip	suit			A pip counting as both Knives and Flames suits simultaneously.	
E0549	designdocs	DESIGN_DOC.md §10 Suits	Fireworks suit (proposed)	suit			Fireworks suit directly adds points to its column based on rank.	
E0550	designdocs	DESIGN_DOC.md §11 Act types	First Act	type			Deck-position type: shows up alone, before any other cards are drawn.	
E0551	designdocs	DESIGN_RECOMMENDATIONS.md §9 Events	First of May	unknown			A rookie joins: gain a random Common card with a hidden growth condition that upgrades it after scoring 10 times.	
E0552	designdocs	DESIGN_DOC.md §14.3 Types	First / Second / Final Act (type entry)	type			Deck-position control types (see §11 Act types).	
E0553	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Flash	type			Scores triple points, but only the first time it would ever score, once per show.	
E0554	designdocs	DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Flea Circus	skill			Scores as if it were 5 cards of rank 1, for combo-counting purposes.	
E0555	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	Flooded rows	rule			Water-covered rows let cards float (move freely sideways) while the cards beneath stay hidden but active.	
E0556	designdocs	DESIGN_REFERENCES.md §B1 Aerial & Wire	Flyer & catcher system	skill			The Flyer card can be 'thrown' to any column containing the Catcher card.	
E0557	designdocs	DESIGN_DOC.md §15 Map v3 (Biome tour)	Fog of war on choices	rule			Fog of war obscures further map choices ahead, themed as 'going on tour.'	
E0558	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Fog-of-war route arrows	rule			Arrow markers stay visible on map edges the player has already scouted.	
E0559	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Fool's License	skill			Ignore one rule card of the player's choice while this card is spotlit.	
E0560	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Foot of God	skill			Switch locations with any card currently on screen.	
E0561	designdocs	DESIGN_DOC.md §21 Events & Encounters	Forbidden-solitaire event mode	unknown			An event mode variant where clicking cards sends them directly to the player's hand.	
