eid	origin	source	name	slot	rarity	groups	mechanic	status
E0262	catalog	CARD_CATALOG	The Incubator		Rare	skill;Concessions;status;protection;growth	Each turn a card is covered by this card, it removes one debuff and restores 1 lost rank from that card.	
E0263	catalog	CARD_CATALOG	The Invisible Wall		Uncommon	skill;Escape Artist;protection;movement	Cue: block one empty column so no card may enter or leave it for one turn, hazards included.	
E0264	catalog	CARD_CATALOG	The Joey		Common	pip;Clown	Jacks are renamed and count as Clown-class cards for group effects.	Vetoed (rank that is always 11 is boring, joey should be a clown token with actual effect)
E0265	catalog	CARD_CATALOG	The Jongleur		Uncommon	skill;Clown;combo	Counts as every class for group effects, but all class bonuses apply at half value.	
E0266	catalog	CARD_CATALOG	The Juggler King		Epic	leader;prop;combo;persistence	Leader: Balls-suit cards can be re-scored each act as long as at least one Balls card scores every submit.	
E0267	catalog	CARD_CATALOG	The Kecak Chorus		Common	skill;Clown;combo;token	When any meld scores, gains bonus multiplier per rank-1 card currently on the board.	
E0268	catalog	CARD_CATALOG	The Kickline		Rare	skill;Dancer;formation;combo	When all five columns' top cards share a suit at scoring, the row above them scores again.	
E0269	catalog	CARD_CATALOG	The King		Epic	skill;freakshow;movement;gamble;secret	Moves like a king but only swaps, never captures; automatically steps out of check whenever the player acts; if a chess card captures it, the captor gains a large bonus and +1 rank.	
E0270	catalog	CARD_CATALOG	The Kite		Uncommon	skill;Special Effects;growth;deck-manip	Cue: remove a card from play temporarily; choose the turn it returns, landing with +rank equal to the turns spent aloft, up to a max of 3.	
E0271	catalog	CARD_CATALOG	The Kneeling Devil		Rare	skill;Escape Artist;status;persistence;gamble	Debuffs its column each show; if kept in the deck for the entire tour, converts at the final city into a Legendary card.	
E0272	catalog	CARD_CATALOG	The Knight		Uncommon	skill;freakshow;movement;destruction	May be placed onto any card 2+1 slots away (an L-shape), discarding and replacing it, ignoring stacking legality.	
E0273	catalog	CARD_CATALOG	The Learned Pig		Uncommon	skill;Animal Trainer;info	Once per turn: reveals the description/identity of any facedown, hidden, or unknown card.	
E0274	catalog	CARD_CATALOG	The Leotard		Uncommon	skill;Acrobat;movement	Cue: move this card and everything above it to the top of any column, ignoring legality.	
E0275	catalog	CARD_CATALOG	The Light and Heavy Chest		Rare	skill;Magician;movement;protection	The player can always grab this card, but board effects and hazards cannot move or discard it.	
E0276	catalog	CARD_CATALOG	The Lion Dance		Rare	skill;Animal Trainer;Dancer;destruction;secret	When destroyed, splits into two rank-half cards instead of dying; when placed onto a card, harvests bonus points from the card beneath it.	
E0277	catalog	CARD_CATALOG	The Lion's Bride		Rare	skill;Animal Trainer;gamble;formation	Scores bonus points each act it shares a column with a consuming Animal card without being eaten.	
E0278	catalog	CARD_CATALOG	The Living Statue		Common	skill;Dancer;persistence;formation	Gains bonus points at show end for every show it was never moved; any grab resets the bonus to zero.	
