eid	origin	source	name	slot	rarity	groups	mechanic	status
E1306	braindump	gam draft.txt:48	Location difficulty from card	map			A map location's suit and rank determine its difficulty and type.	
E1307	braindump	gam draft.txt:444	Magician leader archetype	skill			Magician leader archetype: focuses on card creation and deletion.	
E1308	braindump	gam draft.txt:1279	Mahjong hand check across ring	rule			Check whether a ring satisfies mahjong-style hands, e.g. 4 triplets and a pair across its 5 rows or 5 columns.	
E1309	braindump	curated effects pre grid.csv:81	Mahjong rank/suit	unknown			Placeholder entry referencing a mahjong-based rank/suit mechanic; no effect detail given in the sheet.	
E1310	braindump	gam draft.txt:552	Mana cards instead of mana bar	rule			Instead of a mana bar, use mana cards similar to MTG; any card can serve as a resource.	
E1311	braindump	gam draft.txt:64	Map card seeds next entrance	map			Clicking a card on the map makes it the first card to appear in the drop-down/entrance area of the subsequent match.	
E1312	braindump	gam draft.txt:617	Map high-rarity loose cards	map			The map can sometimes place single high-rarity cards lying around instead of the usual card pack.	
E1313	braindump	gam draft.txt:698	Map node preview before travel	map			Clicking a map node shows a preview plus a separate button to actually travel to it.	
E1314	braindump	gam draft.txt:51	Map probability rings	map			Map could be a square with rings of probability where higher-rank cards are more likely toward the middle.	
E1315	braindump	gam draft.txt:50	Map special squares	map			Some map squares are special locations like shops; e.g. all 7s could be shops.	
E1316	braindump	gam draft.txt:105	Match end condition	rule			Match ends when the deck runs out of cards or the required score is reached.	
E1317	braindump	gam draft.txt:1342	Mau Mau wildcard/win-call rule	rule			Mau Mau: jacks are wild, no redeal limit; must call 'Mau' on your last card, 'Mau Mau' if that card is wild.	
E1318	braindump	gam draft.txt:663	Maximum Effort/Exhaust stamp	stamp			Maximum Effort/Exhaust: doubles points (or gives flat points) from this card on score, but only refreshes if the card is not played/scored again on the next show.	
E1319	braindump	gam draft.txt:1192	Merci: shift an obstructing card	skill			Merci (solitaire cheat): allowed once, to move an obstructing card out of the way.	
E1320	braindump	todo.md:274	Meta progression system	meta			Planned but unimplemented: a meta-progression system.	
E1321	braindump	gam draft.txt:300	Metagame editing ruleset deck	meta			Metagame where the player tries to modify the default ruleset deck during a run by adding or removing rule cards.	
E1322	braindump	gam draft.txt:501	Metashop odds vs required score	meta			Spending points in the meta-shop to manipulate overall card odds also increases the score required per show.	
E1323	braindump	gam draft.txt:1437	Minesweeper bomb-prefilled grid	boss			Minesweeper-inspired: rings prefilled with random bombs; number tiles indicate nearby bombs; placing a card on a bomb lowers its value.	
E1324	braindump	gam draft.txt:49	Minesweeper map reveal	map			Deck starts fully visible but face-down like Minesweeper; can only click a card adjacent to a face-down card, battling for it and revealing adjacent cards; win by uncovering all cards.	
E1325	braindump	gam draft.txt:654	Mini-game events with puzzle win-con	map			Some events are mini-games where score is not the goal but an alternate puzzle win condition, e.g. trigger an effect 5 times to win.	
E1326	braindump	random potential effects.csv:22	Mini Metro mode	map			Mini-game mode: ends of straights become metro stations connected by the straights as lines, which must serve passengers over N turns.	
E1327	braindump	random potential effects.csv:17	Monopoly card	skill			Playing a flush of five of a card removes that card from future generation.	
E1328	braindump	gam draft.txt:1414	Monopoly pay-to-unlock squares	map			Monopoly-inspired: certain map squares require sacrificing/paying a card to unlock before use.	
E1329	braindump	random potential effects.csv:3	More Poker card	skill			Poker hands give double the points.	
E1330	braindump	gam draft.txt:623	Move-resistant cards	skill			Some cards can resist being moved.	
E1331	braindump	gam draft.txt:17	Mulligan entrance cards	rule			Mulligan incoming cards by clicking them and pressing a discard button.	
E1332	braindump	gam draft.txt:612	Mulligan entrance via tap	skill			Card effect that allows mulliganing entrance cards when tapped.	
E1333	braindump	gam draft.txt:609	Mulligan-style card packs	consumable			Card packs where, instead of choosing cards directly, the player mulligans (rerolls) the pack's results arena-style, with an increasable mulligan count.	
E1334	braindump	gam draft.txt:124	Multiply vertical by horizontal	rule			All vertical scores are multiplied together with all horizontal scores at the end.	
E1335	braindump	gam draft.txt:555	Mystery Box card	skill			Mystery Box: at game start, this card becomes a random skill.	
E1336	braindump	gam draft.txt:1445	Neighbor-type value bonus (3-Ring Circus)	skill			3-Ring Circus board game reference: cards care about the type of cards to their left/right to increase their own value.	
E1337	braindump	gam draft.txt:1176	Net card lowers retirement, raises injury	skill			Net card: increases chance of injury but lowers chance of retirement.	
E1338	braindump	gam draft.txt:1343	Neuner 9s-wild variant	rule			Neuner: like Mau Mau but 9s are wild plus an added Joker, and players may draw at will.	
E1339	braindump	pokerpatience.txt:5	New grid per 25/50 deck cards	rule			A new 5x5 grid is unlocked for every 25/50 cards (tunable) in the starting deck.	
E1340	braindump	gam draft.txt:1373	Ninety-Nine suit-value bidding	rule			Ninety-Nine: discard 3 of 12 cards to set your bid, where club=+3, heart=+2, spade=+1, diamond=+0.	
E1341	braindump	gam draft.txt:1267	No-adjacency placement with shifting	rule			Alternative: no restriction requiring cards be placed near others, but with a shifting mechanic where a second card placed 5 away determines the first card's final position.	
E1342	braindump	gam draft.txt:86	No submit slot, whole board scores	rule			There is no special submit slot; the entire board is considered for submission on final score, using entrance cards similar to jokers.	
