eid	origin	source	name	slot	rarity	groups	mechanic	status
E0784	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Storyteller	skill			Preserves some points into the next game.	
E0785	designdocs	DESIGN_DOC.md §19 Meta Progression	Storyteller cross-game persistence	skill			Scoring done outside the main game carries into the next game, e.g. via the Storyteller card preserving points between games.	
E0786	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	Storyteller's Dance	skill			Re-triggers the last effect that fired on an adjacent card.	
E0787	designdocs	DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	Straw House	unknown			When tips exceed X, the next node's offers get +1 rarity.	
E0788	designdocs	DESIGN_REFERENCES.md §A6 Japan	Style flourish (Mie)	rule			A scored meld holds on screen a beat longer for +tips.	
E0789	designdocs	DESIGN_DOC.md §20 Difficulty, Bosses & Win Cons	Suit-punishing hazard towns	boss			Towns punish specific suit scoring (Knifetown scores knives at 0, similarly Firetown/Juggletown/Hooptown); performing at a volcano adds lava hazards.	
E0790	designdocs	DESIGN_REFERENCES.md §A4 Russia & the Soviet Circus	Sunshine (Popov)	skill			A clown that only buffs, never gags; heals debuffs on the cards below it.	
E0791	designdocs	DESIGN_DOC.md §13 Special Decks & Variants	Survivor deck	unknown			Suits represent survival resources: food, water, sword, etc.	
E0792	designdocs	DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	Sword Swallower	unknown			A column that forms one perfect descending run from deck-to-floor triggers a secret meld.	
E0793	designdocs	DESIGN_REFERENCES.md §A1 The Ancient World	Sword swallowing (fakir)	skill			Swallow a Knife-suit card into this card; produce it later at increased rank.	
E0794	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	Sword swallowing (Edith Clifford)	skill			Permanently swallows a Knife card, adding its rank to this card's forever.	
E0795	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	Symmetrical Show (rule)	rule			Poker hands are also evaluated vertically, not just horizontally.	
E0796	designdocs	DESIGN_DOC.md §18 Rarity, Packs & Collection	Talent pack mulligan	rule			Booster packs are opened by mulliganing the results arena-style; contents are previewable, mulligan count is upgradable, and unseen effects show a question mark.	
E0797	designdocs	DESIGN_REFERENCES.md §A11 South America	Tango pair	skill			Two cards locked in embrace, always adjacent, alternating each turn which one's skill fires.	
E0798	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	Tappable Clown (summary)	skill			3 taps: randomizes adjacent cards.	
E0799	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	Ten-in-One pack	consumable			A pack type containing 10 common cards.	
E0800	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	Ten-suit challenge deck	unknown			A ten-suit unlockable challenge deck (Ganjifa-inspired).	
E0801	designdocs	DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	The 42-Foot Ring	unknown			A secret meld triggers when a row's and column's scores total exactly 42.	
E0802	designdocs	DESIGN_REFERENCES.md §A4 Russia & the Soviet Circus	The Academy	unknown			A meta building trains (permanently upgrades) one common card per season into its rare version.	
E0803	designdocs	DESIGN_RECOMMENDATIONS.md §1 How I read your design	The Acrobat (adopt)	skill			Card can be grabbed even while covered by another card.	
E0804	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	The Acrobat (summary)	skill			Grabbable even when covered.	
E0805	designdocs	DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	The Advance Man	consumable			Map consumable/skill that reveals fog-of-war nodes ahead of the player.	
E0806	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	The All-Nighter	unknown			A triple-length show: 3x submits, 3x goal, 3x reward.	
E0807	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	The Ambitious Card	skill			Always rises to the top of the deck after shuffles; a related secret rewards beating a 'Houdini' boss with it.	
E0808	designdocs	DESIGN_RECOMMENDATIONS.md §1 How I read your design	The Anarchist (reject as player card)	boss			Silences/disables the rule deck while in play; recommended as a boss effect rather than a player card.	
E0809	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	The Anarchist (summary)	boss			Disables all other Rule cards while in the Ring.	
E0810	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	The Arcade	unknown			A minigame node reusing solitaire-variant events for tickets.	
E0811	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	The At Liberty pool	rule			Between towns, hire discounted cards other 'shows' have dropped.	
E0812	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	The audience warns you	rule			The crowd (UI) shouts a warning one step before a hazard hits a card; villains earn boos (heat).	
E0813	designdocs	DESIGN_REFERENCES.md §G The Modern Era	The Avatar	stamp			A card wears another card's face/identity; unmasking rules apply.	
E0814	designdocs	DESIGN_REFERENCES.md §B3 Strength & Endurance	The Backlift	skill			Scores +N per card currently stacked on top of this card.	
E0815	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	The Backward-Backward	skill			Reverses a run's direction mid-meld: a descending run counts as ascending for one column.	
E0816	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	The Bahurupiya	type			Arrives each show as a random different class.	
E0817	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	The Balance boss	boss			Cannot be defeated, only balanced: end the show with row points and column points within X% of each other.	
E0818	designdocs	DESIGN_REFERENCES.md §A10 The Americas	The Barrel	unknown			A one-time colossal fame gain with zero gold reward.	
E0819	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	The Basket	skill			'Destroys' a card into the basket; it reappears in the Entrance next show, unharmed, granting +fame.	
E0820	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	The Bauta	stamp			While worn, the card's rarity and identity are hidden from effects, inspections, and towns.	
E0821	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	The Belt	stamp			Exactly one card in the world holds it, doubling that card; belt-challenge bosses can take it away.	
E0822	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	The Birdman Race	unknown			A first-to-claim seasonal contest; the winning card holds a tour-long title.	
E0823	designdocs	DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Blank	rank			No rank and no suit; stacks legally on anything and anything can stack on it; scores 0 points.	
E0824	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	The Blind Spot	rule			While the town inspector watches one zone, banned (Outlawed) cards can act in the other zone.	
E0825	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	The Blockhead	skill			Absorbs one Knife projectile per show as points instead of damage.	
E0826	designdocs	DESIGN_REFERENCES.md §C2 Séance, Spiritualism & Paranormal	The Board (Ouija)	consumable			Ask the deck one yes/no question per show.	
E0827	designdocs	DESIGN_RECOMMENDATIONS.md §2.2 Alt win cons: The Booking	The Booking	consumable			A contract card sits in the rule deck for the show; player declares a booking (e.g. score X with no knife melds, win in 2 submits, trigger 12 unique feats) and the show is won by fulfilling it rather than by max score.	
E0828	designdocs	DESIGN_REFERENCES.md §A16 Africa & the Arctic	The Boot Code	rule			Adjacent cards pass a buff down a row via untriggered 'rhythm,' untraceable by boss effects that punish triggers.	
E0829	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	The Box Theater	skill			Cueing it runs a one-card mini-submit inside itself.	
E0830	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	The Brass Ring	rule			A bonus token rotates around the board's columns each turn; scoring the column while the ring sits on it grants a grab bonus.	
E0831	designdocs	DESIGN_REFERENCES.md §F4 Dance, Drag & Ballroom	The Butoh Walker	skill			Moves one slot every other turn, permanently transforming (buffing) every slot it passes through.	
E0832	designdocs	DESIGN_REFERENCES.md §A6 Japan	The Butterfly Trick	skill			Creates fluttering paper-token cards (rank 1, any suit) that drift down one column per turn.	
E0833	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	The Called Shot	skill			Destroys the top card of any stack, leaving the rest of the stack intact.	
E0834	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	The Calm Voice	skill			Negates one disaster event by converting it into a show, gaining fame from the crisis.	
E0835	designdocs	DESIGN_RECOMMENDATIONS.md §7 Leaders	The Cannon King (Zacchini)	type			Fireworks-suit cards may score from the Entrance.	
E0836	designdocs	DESIGN_REFERENCES.md §A11 South America	The Capoeirista	skill			Registered as a Dancer but functions as a fighter; performs even in towns that ban combat acts.	
E0837	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	The Card Index	skill			Cue: search the deck for any card and put it in the Entrance.	
E0838	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	The Castell	skill			Build a tower and crown it with the smallest card for a massive bonus, with collapse risk scaling per level; a four-word motto maps to four buff types.	
E0839	designdocs	DESIGN_REFERENCES.md §C3 Automata & Illusion Technology	The Chamber (Waxworks)	unknown			A museum node that buys 'likenesses' of the player's destroyed cards for gold.	
E0840	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	The Charm	skill			Card text describes one trigger (music) while the real trigger is something else (movement).	
E0841	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	The Chest	skill			The card's weight (Heavy/Light) flips depending on whether the player or an effect is moving it.	
E0842	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	The Chorus (Kecak)	skill			+mult per rank-1 card on the board whenever any meld scores.	
E0843	designdocs	DESIGN_REFERENCES.md §A10 The Americas	The Claimed Feat	skill			Scores fame for a stunt that never happened; if exposed later, lose double.	
E0844	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	The clean dodge (Recortadores)	skill			When a hazard targets this card's column, it vaults the hazard, which passes through and scores points instead.	
E0845	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	The Cliffhanger	unknown			Ending a show mid-trick plummets the next town's fame requirement, but the trick must be 'resolved' there.	
E0846	designdocs	DESIGN_REFERENCES.md §F6 Film Stunts & Spectacle Sports	The Clock Hang	skill			Placed half-off the board's last column for double spotlight and double score, but risks a random gust that drops it.	
E0847	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	The Collective deck	unknown			A leaderless deck where every card shares the ensemble's average power; +mult if the deck contains no rares.	
E0848	designdocs	DESIGN_REFERENCES.md §C2 Séance, Spiritualism & Paranormal	The Committee	unknown			Submit a Gaff for 'testing': huge reward if it survives scrutiny, destroyed if not.	
E0849	designdocs	DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia	The Contortionist	skill			Folds to share a single board slot with another card.	
E0850	designdocs	DESIGN_REFERENCES.md §D Cards, Gambling & Fortune	The Cooler	consumable			Replace the remaining draw deck with a perfectly pre-ordered copy, once per run.	
E0851	designdocs	DESIGN_RECOMMENDATIONS.md §7 Leaders	The Costumier	type			Cards may hold 2 stamps instead of 1.	
E0852	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	The Courier	skill			A card straddles two columns at once, scoring in both.	
E0853	designdocs	DESIGN_REFERENCES.md §F3 Music, Concerts & Festivals	The Crowd Surf	skill			Passes a card across the tops of all columns hand-to-hand, gaining +1 per column crossed, but is discarded if any column is empty.	
E0854	designdocs	DESIGN_REFERENCES.md §G The Modern Era	The Crowd Takes Over	unknown			For one turn, a seeded-random 'audience' makes the player's moves.	
E0855	designdocs	DESIGN_REFERENCES.md §F4 Dance, Drag & Ballroom	The Cutting Contest	unknown			Alternating melds where each must beat the previous score.	
E0856	designdocs	DESIGN_REFERENCES.md §F6 Film Stunts & Spectacle Sports	The Demolition Show	unknown			Discarding scores points per card destroyed instead of playing normally.	
E0857	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	The Designated Loser	boss			A boss the player always beats, with a hidden 1-in-1000 chance it wins instead.	
E0858	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	The Diplomatic Show	unknown			Defuse a hostile town with one perfect performance instead of meeting its score requirement.	
E0859	designdocs	DESIGN_REFERENCES.md §A14 The Caribbean & Central America	The Dirty Opening	unknown			Show starts with all cards debuffed ('muddy'); every card that scores anyway earns double.	
E0860	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	The Disaster March	unknown			A hidden audio cue plays one turn before a surprise boss effect, rewarding players who learn the tell.	
E0861	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	The Discoverie	consumable			A book card that reveals every Gaff/fake in play; banned in some towns.	
E0862	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	The Diva	skill			Strongest card in her class, but her skill is disabled unless placed first each show.	
E0863	designdocs	DESIGN_REFERENCES.md §F6 Film Stunts & Spectacle Sports	The Double	skill			Takes destruction meant for its assigned 'star' card.	
E0864	designdocs	DESIGN_REFERENCES.md §G The Modern Era	The Drone Swarm	skill			Projects any formation bonus the player has previously scored, without needing the original cards.	
