eid	origin	source	name	slot	rarity	groups	mechanic	status
E1045	designdocs	DESIGN_DOC.md §5 Scoring v3 (combo)	Uniqueness multiplier	rule			A separate early idea: a multiplier that grows with every unique effect triggered during a submit.	
E1046	designdocs	DESIGN_DOC.md §8 Rule Deck	Universal deck resolves last	rule			The Universal (rule) deck is probably applied last in all modifier resolution order.	
E1047	designdocs	DESIGN_DOC.md §4 Stacking & Movement Rules	Universal placement ability	skill			A card ability lets any card be placed on top of it, overriding default stacking legality.	
E1048	designdocs	DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia	Unpierceable	stamp			Knife-suit projectiles pass through this card harmlessly (still counts as a 'miss' for stuntman bonuses).	
E1049	designdocs	DESIGN_REFERENCES.md §A11 South America	Verse duel (repentistas)	unknown			Alternate 'stanzas' (mini-submits) with a town champion; the first to fail a beat loses.	
E1050	designdocs	DESIGN_DOC.md §8 Rule Deck	Viewable game laws	unknown			Game laws are viewable as plain text via a greyed-out '?' button before the player has unlocked the rule deck itself, needed to explain prop-card abilities.	
E1051	designdocs	DESIGN_DOC.md §7 Spotlight System	Visible-to-trigger + hidden-trigger stamp	stamp			Abilities must be visible to trigger by default; a stamp lets a card trigger even while hidden/covered; deck triggers surface visually on the deck slot as they fire.	
E1052	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Voladores calendar meld	unknown			A hidden ritual meld: 4 cards descending 13 ranks each (4x13=52) grants an end-of-run celestial bonus.	
E1053	designdocs	DESIGN_DOC.md §8 Rule Deck	Voucher effects in main deck	consumable			Voucher-type effects (player-side) go in the main deck instead of the rule deck.	
E1054	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Walking Through the Wall	skill			Move a card through an occupied slot to the other side.	
E1055	designdocs	DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	Wall of Death	skill			Adjacent columns score +mult, but cards there take 1 Exhaust debuff per show.	
E1056	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	Water Torture Cell escape chain	skill			A card locked under 3 conditions unlocks one per turn, paying out on the full escape.	
E1057	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Wax	type			Rank slowly decreases each show it shares a column with a Flame-suit card.	
E1058	designdocs	DESIGN_REFERENCES.md §A16 Africa & the Arctic	Wax and Gold	skill			A card carries two rule texts: the visible 'wax' effect and a hidden 'gold' effect discovered by fulfilling the wax one.	
E1059	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	Wheel of Death roulette	rule			A spinning bonus wheel whose payout lands where the last knife-suit card scored.	
E1060	designdocs	DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	White Elephant	skill			Scores huge points, but each show it remains in the deck it eats 1 Gold card.	
E1061	designdocs	DESIGN_REFERENCES.md §B5 Clowning Across Cultures	Whiteface/Auguste pairing	rule			A Whiteface card issues a cue that an adjacent Auguste card executes 'wrongly,' with a better result.	
E1062	designdocs	DESIGN_DOC.md §2 Core Game Loop v2 (latest)	Whole-board submit	rule			Player continuously draws to build the board; pressing Submit evaluates and scores the entire board state, then clears it, with Entrance cards dropping down to seed the next board.	
E1063	designdocs	DESIGN_DOC.md §6 Card Anatomy & Pips	Wild pip	suit			A wild pip class tracks the previous pip inside itself, e.g. randomly choosing from pips present on the board/row/column, updating on every board change with cycling visuals.	
