eid	origin	source	name	slot	rarity	groups	mechanic	status
E1567	balatro	balatro	Even Steven	joker	Common		Played cards with even rank give +4 Mult when scored.	
E1568	balatro	balatro	Faceless Joker	joker	Common		Earn $5 if 3 or more face cards are discarded at the same time.	
E1569	balatro	balatro	Five-Card Draw	challenge			6 discards per round, 5 hand size, 7 Joker slots; starts with Card Sharp and a base Joker; hand-size-expanding Jokers are banned.	
E1570	balatro	balatro	Flash Card	joker	Uncommon		Gains +2 Mult permanently per reroll in the shop.	
E1571	balatro	balatro	Flower Pot	joker	Uncommon		X3 Mult if played hand contains a Diamond, Club, Heart, and Spade card.	
E1572	balatro	balatro	Foil	edition			+50 Chips when scored (on a playing card), or +50 Chips added directly before the Joker is scored (on a Joker).	
E1573	balatro	balatro	Foil Tag	tag			Next base-edition shop Joker is free and becomes Foil.	
E1574	balatro	balatro	Fortune Teller	joker	Common		+1 Mult per Tarot card used this run.	
E1575	balatro	balatro	Four Fingers	joker	Uncommon		All Flushes and Straights can be made with 4 cards.	
E1576	balatro	balatro	Fragile	challenge			Starts with 2 Eternal Negative Oops! All 6s Jokers; uses a standard 52-card deck with every card given Glass enhancement; all other card-enhancement methods are banned.	
E1577	balatro	balatro	Garbage Tag	tag			Gives $1 per unused discard this run.	
E1578	balatro	balatro	Gift Card	joker	Uncommon		Adds $1 of sell value to every other Joker and Consumable card at end of round.	
E1579	balatro	balatro	Glass Card	enhancement			X2 Mult when scored; 1 in 4 chance to be destroyed after scoring is finished.	
E1580	balatro	balatro	Glass Joker	joker	Uncommon		Gains X0.75 Mult permanently for every Glass Card that is destroyed.	
E1581	balatro	balatro	Gluttonous Joker	joker	Common		Played cards with Club suit give +3 Mult when scored.	
E1582	balatro	balatro	Gold Card	enhancement			Gives $3 if held in hand at end of round.	
E1583	balatro	balatro	Gold Seal	seal			Earn $3 when this card is played and scores.	
E1584	balatro	balatro	Gold Stake	stake			30% chance for Jokers in shops or booster packs to have a Rental Sticker (costs $3 per round).	
E1585	balatro	balatro	Golden Joker	joker	Common		Earn $4 at end of round.	
E1586	balatro	balatro	Golden Needle	challenge			Each discard costs $1; 1 hand and 6 discards per round; starts with $10; hand-boosting vouchers and the Burglar Joker are banned.	
E1587	balatro	balatro	Golden Ticket	joker	Common		Played Gold cards earn $4 when scored.	
E1588	balatro	balatro	Greedy Joker	joker	Common		Played cards with Diamond suit give +3 Mult when scored.	
E1589	balatro	balatro	Green Joker	joker	Common		+1 Mult per hand played, -1 Mult per discard, for the round.	
E1590	balatro	balatro	Hack	joker	Uncommon		Retrigger each played 2, 3, 4, or 5.	
E1591	balatro	balatro	Half Joker	joker	Common		+20 Mult if played hand contains 3 or fewer cards.	
E1592	balatro	balatro	Hallucination	joker	Common		1 in 2 chance to create a Tarot card when any Booster Pack is opened.	
E1593	balatro	balatro	Handy Tag	tag			Gives $1 per hand played this run.	
E1594	balatro	balatro	Hanging Chad	joker	Common		Retriggers the first played card used in scoring 2 additional times.	
E1595	balatro	balatro	Hiker	joker	Uncommon		Every played card permanently gains +5 Chips when scored.	
E1596	balatro	balatro	Hit the Road	joker	Rare		Gains X0.5 Mult for the rest of the round for every Jack discarded.	
E1597	balatro	balatro	Hologram	joker	Uncommon		Gains X0.25 Mult permanently every time a playing card is added to your deck.	
E1598	balatro	balatro	Holographic	edition			+10 Mult when scored (on a playing card), or +10 Mult added directly before the Joker is scored (on a Joker).	
E1599	balatro	balatro	Holographic Tag	tag			Next base-edition shop Joker is free and becomes Holographic.	
E1600	balatro	balatro	Ice Cream	joker	Common		+100 Chips, -5 Chips for every hand played.	
E1601	balatro	balatro	Inflation	challenge			Every shop purchase permanently raises all prices by $1; starts with a Credit Card Joker; discount vouchers are banned.	
E1602	balatro	balatro	Investment Tag	tag			Gain $25 after defeating the next Boss Blind.	
E1603	balatro	balatro	Invisible Joker	joker	Rare		After being held through 2 rounds, can be sold to duplicate a random other Joker.	
E1604	balatro	balatro	Joker	joker	Common		+4 Mult.	
E1605	balatro	balatro	Joker Stencil	joker	Uncommon		X1 Mult for each empty Joker slot (including this card).	
E1606	balatro	balatro	Jokerless	challenge			Jokers no longer appear in the shop and Joker slots are set to 0; all other Joker-acquisition methods (Judgement, Wraith, Soul cards, tags, certain blinds, Antimatter voucher, Buffoon packs) are banned.	
E1607	balatro	balatro	Juggle Tag	tag			+3 hand size for the next round.	
E1608	balatro	balatro	Juggler	joker	Common		+1 hand size.	
E1609	balatro	balatro	Loyalty Card	joker	Uncommon		X4 Mult every 6 hands played.	
E1610	balatro	balatro	Luchador	joker	Uncommon		Sell this card to disable the current Boss Blind's effect for the round.	
E1611	balatro	balatro	Lucky Card	enhancement			1 in 5 chance to give +20 Mult and 1 in 15 chance to give $20 when scored.	
E1612	balatro	balatro	Lucky Cat	joker	Uncommon		Gains X0.25 Mult permanently every time a Lucky card successfully triggers.	
E1613	balatro	balatro	Luxury Tax	challenge			Hand size (base 10) is reduced by 1 for every $5 held.	
E1614	balatro	balatro	Mad Joker	joker	Common		+10 Mult if played hand contains a Two Pair.	
E1615	balatro	balatro	Mad World	challenge			Extra hands earn no money and no interest is earned; deck is restricted to ranks 2-9 (32 cards); The Plant boss blind is banned.	
E1616	balatro	balatro	Madness	joker	Uncommon		When Small Blind or Big Blind is selected, gains X0.5 Mult and destroys a random other Joker.	
E1617	balatro	balatro	Mail-In Rebate	joker	Common		Earn $5 for each discarded card of a target rank; the target rank changes every round.	
E1618	balatro	balatro	Marble Joker	joker	Uncommon		Adds one Stone card to the deck when Blind is selected.	
E1619	balatro	balatro	Matador	joker	Uncommon		Earn $8 if played hand triggers the Boss Blind's ability.	
E1620	balatro	balatro	Medusa	challenge			Starts with an Eternal Marble Joker; all face cards in the deck are replaced with Stone cards.	
E1621	balatro	balatro	Merry Andy	joker	Uncommon		+3 discards each round, -1 hand size.	
E1622	balatro	balatro	Meteor Tag	tag			Gives a free Mega Celestial Pack.	
E1623	balatro	balatro	Midas Mask	joker	Uncommon		All played face cards become Gold cards when scored.	
