eid	origin	source	name	slot	rarity	groups	mechanic	status
E1828	cryptid	cryptid	Double M Tag	tag			Shop has a Jolly M Joker	
E1829	cryptid	cryptid	Double Scale	joker	Epic		Scaling Jokers scale quadratically instead of linearly (e.g. +1, +3, +6, +10)	
E1830	cryptid	cryptid	Double-Sided	card_modifier			Card can be flipped to reveal a different (optionally merged) card on its back side (removed in v0.5.16b)	
E1831	cryptid	cryptid	Dropshot	joker	Rare		Gains X0.2 Mult per played nonscoring card of a suit that changes every round	
E1832	cryptid	cryptid	Dubious Joker	joker	Common		+20 Chips if played hand contains a High Card	
E1833	cryptid	cryptid	Duplicare	joker	Exotic		Gains X1 Mult when a Joker or playing card is scored	
E1834	cryptid	cryptid	Echo Card	card_modifier			1 in 2 chance to retrigger 2 additional times when scored	
E1835	cryptid	cryptid	Edition Deck	deck			All cards are a chosen Edition and cannot change editions	
E1836	cryptid	cryptid	Effarcire	joker	Exotic		Draws the full deck to hand when Blind is selected	
E1837	cryptid	cryptid	Ember Stake	stake			All items give no money when sold	
E1838	cryptid	cryptid	Emerald Stake	stake			30% chance for cards, packs, and vouchers in shop/booster packs to be face down until purchased	
E1839	cryptid	cryptid	Emergency Chips	joker	Common		Immediately gains 20% of the blind requirement as score when sold	
E1840	cryptid	cryptid	Empowered Tag	tag			Gives a free Spectral Pack containing The Soul and Gateway	
E1841	cryptid	cryptid	Encoded Deck	deck			Starts with a Code Joker and a Copy/Paste; only Code Cards appear in shop	
E1842	cryptid	cryptid	Energia	joker	Exotic		When a Tag is acquired, creates 1 copy of it, with the number of copies increasing by 1 each time	
E1843	cryptid	cryptid	Enhancement Deck	deck			All playing cards are a chosen Enhancement	
E1844	cryptid	cryptid	Enter the Gungeon	challenge			All Blinds are Boss Blinds and skipping is disabled; starts with an Eternal AP Joker	
E1845	cryptid	cryptid	Epic Tag	tag			Shop has a half-price Epic Joker	
E1846	cryptid	cryptid	ERROR	joker	Epic		Adds Glitched to all cards, vouchers, and consumables in the shop at end of round; after 1-10 random rounds, selling it duplicates all owned Jokers	
E1847	cryptid	cryptid	Eternal Flame	joker	Rare		Gains X0.2 Mult for each card sold	
E1848	cryptid	cryptid	Exoplanet	joker	Common		Other Holographic cards each give +15 Mult	
E1849	cryptid	cryptid	Exponentia	joker	Exotic		Gains ^0.03 Mult whenever XMult is triggered	
E1850	cryptid	cryptid	Exposed	joker	Rare		Retriggers all scored non-face cards 2 additional times; all face cards are debuffed	
E1851	cryptid	cryptid	Facile	joker	Exotic		^3 Mult if played cards are scored 10 or fewer times	
E1852	cryptid	cryptid	Fading Joker	joker	Uncommon		Gains X1 Mult whenever a Perishable card is debuffed	
E1853	cryptid	cryptid	Familiar Currency	joker	Rare		Creates a Meme Joker at end of round for $19 if possible (must have room)	
E1854	cryptid	cryptid	Fast Food M	joker	Common		+40 Mult, self-destructs in 2 rounds, increased by 1 round each time a Jolly Joker is sold	
E1855	cryptid	cryptid	Fidget Spinner	joker	Common		+6 Chips if played hand is not your most-played hand	
E1856	cryptid	cryptid	Flesh Panopticon	joker	Epic		X20 Boss Blind size; when Boss Blind is defeated, self-destructs and creates a Negative Gateway card	
E1857	cryptid	cryptid	Formidiulosus	joker	Exotic		Destroys any Cursed Joker obtained, creates 3 Negative Candies at end of shop, and gains ^0.01 Mult per Candy owned	
E1858	cryptid	cryptid	Foxy Joker	joker	Common		+130 Chips if played hand contains a Full House	
E1859	cryptid	cryptid	Fractal Fingers	joker	Rare		+2 card selection limit	
E1860	cryptid	cryptid	Fragile	card_modifier			X3 Mult; 7 in 8 chance this card isn't destroyed when triggered; unriggable	
E1861	cryptid	cryptid	Fragile Tag	tag			Next base-edition shop Joker is free and becomes Fragile	
E1862	cryptid	cryptid	Fridge Magnet	joker	Common		Earns $2 at end of round, X5 that amount if 4 or fewer Joker cards owned	
E1863	cryptid	cryptid	Fucked-Up Joker/Tidy Joker	joker	Common		+37 Mult if played hand contains a Clusterfuck/Cluster	
E1864	cryptid	cryptid	Gambler's Tag	tag			1 in 4 chance to create an Empowered Tag	
E1865	cryptid	cryptid	Garden of Forking Paths	joker	Rare		Earns $7 if played hand contains an Ace and a 7	
E1866	cryptid	cryptid	Gemini	joker	Exotic		Doubles all values of the leftmost Joker at end of round	
