round,param,value,seed_mean,seed_min,coverage,hollow,keff,biome,spread,violations
1,outgoing,1,0.3490,0.1186,0.2755,0.1271,3.5864,0.4871,0.3956,3.0500
1,outgoing,3,0.8278,0.4884,0.7279,0.1207,3.7328,0.8051,0.5168,3.0000
1,outgoing,4,0.8696,0.5100,0.7830,0.1024,3.1958,0.8364,0.5370,3.0000
1,outgoing,5,0.8908,0.5106,0.8055,0.0937,2.9562,0.8439,0.5666,3.0000
1,outgoing,6,0.8932,0.5109,0.8130,0.0851,2.6580,0.8458,0.5807,3.0000
1,min_outgoing_after_trim,1,0.8932,0.5109,0.8130,0.0851,2.6580,0.8458,0.5807,3.0000
1,min_outgoing_after_trim,2,0.8431,0.4614,0.8134,0.0845,2.6335,0.8458,0.5807,4.0000
1,min_outgoing_after_trim,3,0.8432,0.4614,0.8135,0.0845,2.6343,0.8458,0.5807,4.0000
1,edge_trim_chance,0.0,0.8932,0.5114,0.8137,0.0842,2.6239,0.8458,0.5807,3.0000
1,edge_trim_chance,0.1,0.8933,0.5114,0.8136,0.0845,2.6343,0.8458,0.5807,3.0000
1,edge_trim_chance,0.4,0.8936,0.5109,0.8130,0.0854,2.6626,0.8458,0.5807,3.0000
1,edge_trim_chance,0.6,0.8936,0.5098,0.8117,0.0867,2.7094,0.8458,0.5807,3.0000
1,edge_trim_chance,0.9,0.8949,0.5098,0.8106,0.0891,2.7930,0.8458,0.5807,3.0000
1,nodes_between_cities,0,0.8538,0.5079,0.7765,0.0924,2.8722,0.8304,0.5494,3.0500
1,nodes_between_cities,4,0.8979,0.5103,0.8179,0.0855,2.6522,0.8572,0.5782,3.0000
1,nodes_between_cities,6,0.8907,0.5109,0.8138,0.0861,2.6717,0.8631,0.5729,3.0500
1,nodes_between_cities,7,0.8875,0.5109,0.8129,0.0864,2.6587,0.8670,0.5729,3.1000
1,nodes_between_cities,8,0.8786,0.5062,0.8006,0.0966,3.0325,0.8650,0.5657,3.2000
1,city_bottleneck_strength,0.0,0.8968,0.5103,0.8179,0.0856,2.6634,0.8572,0.5730,3.0000
1,city_bottleneck_strength,0.2,0.8982,0.5103,0.8175,0.0865,2.6881,0.8572,0.5771,3.0000
1,city_bottleneck_strength,0.6,0.8971,0.5103,0.8171,0.0862,2.6788,0.8553,0.5752,3.0000
1,city_bottleneck_strength,0.8,0.8960,0.5098,0.8165,0.0871,2.7075,0.8553,0.5696,3.0000
1,city_bottleneck_strength,1.0,0.8970,0.5092,0.8166,0.0890,2.7818,0.8553,0.5655,3.0000
1,min_graph_width,1,0.8507,0.0553,0.7379,0.0912,2.8221,0.8330,0.5263,2.2000
1,min_graph_width,2,0.8923,0.4992,0.8149,0.0818,2.5694,0.8613,0.5824,3.0000
1,min_graph_width,4,0.9010,0.5132,0.8229,0.0798,2.4712,0.8667,0.5932,3.0000
1,min_graph_width,5,0.8938,0.5111,0.8229,0.0764,2.3203,0.8631,0.5783,3.0000
1,min_graph_width,6,0.9123,0.5197,0.8291,0.0846,2.6245,0.8725,0.5944,3.0000
1,max_landmasses,1,0.8950,0.4907,0.8188,0.0828,2.5909,0.8726,0.5838,3.0500
1,max_landmasses,2,0.9011,0.5130,0.8230,0.0827,2.5759,0.8746,0.5814,3.0000
