round,param,value,seed_mean,seed_min,coverage,hollow,keff,biome,spread,violations
1,outgoing,1,0.2486,0.0983,0.2134,0.0977,2.8117,0.3861,0.3098,2.8000
1,outgoing,2,0.5334,0.1545,0.4478,0.1434,4.3211,0.5561,0.3690,3.0000
1,outgoing,3,0.6962,0.3835,0.6040,0.1373,4.2465,0.6705,0.4194,3.0000
1,outgoing,4,0.7518,0.3989,0.6674,0.1246,3.8882,0.7091,0.4391,3.0000
1,outgoing,6,0.8344,0.4199,0.7283,0.1387,4.3954,0.7421,0.4696,3.0000
1,min_outgoing_after_trim,1,0.8344,0.4199,0.7283,0.1387,4.3954,0.7421,0.4696,3.0000
1,min_outgoing_after_trim,2,0.7820,0.3699,0.7276,0.1370,4.3383,0.7421,0.4696,4.0000
1,min_outgoing_after_trim,3,0.7844,0.3699,0.7298,0.1372,4.3461,0.7421,0.4696,4.0000
1,edge_trim_chance,0.0,0.8350,0.4199,0.7310,0.1367,4.3267,0.7421,0.4696,3.0000
1,edge_trim_chance,0.4,0.8318,0.4199,0.7257,0.1387,4.3918,0.7421,0.4696,3.0000
1,edge_trim_chance,0.5,0.8316,0.4193,0.7255,0.1387,4.3976,0.7421,0.4696,3.0000
1,edge_trim_chance,0.6,0.8311,0.4187,0.7239,0.1398,4.4289,0.7421,0.4696,3.0000
1,edge_trim_chance,0.9,0.8346,0.4182,0.7097,0.1575,5.0556,0.7421,0.4696,3.0000
1,nodes_between_cities,0,0.7861,0.4170,0.7028,0.1192,3.7473,0.7243,0.4565,3.0000
1,nodes_between_cities,1,0.7861,0.4170,0.7028,0.1192,3.7473,0.7243,0.4565,3.0000
1,nodes_between_cities,5,0.8464,0.4310,0.7352,0.1421,4.5648,0.7534,0.4867,3.0500
1,nodes_between_cities,6,0.8255,0.4294,0.7233,0.1387,4.4682,0.7497,0.4739,3.1000
1,nodes_between_cities,8,0.8462,0.4218,0.7139,0.1589,5.1410,0.7594,0.4837,2.9500
1,city_bottleneck_strength,0.0,0.8452,0.4310,0.7355,0.1413,4.5259,0.7554,0.4833,3.0500
1,city_bottleneck_strength,0.4,0.8472,0.4310,0.7353,0.1427,4.5879,0.7534,0.4867,3.0500
1,city_bottleneck_strength,0.5,0.8464,0.4310,0.7352,0.1421,4.5648,0.7534,0.4867,3.0500
1,city_bottleneck_strength,0.7,0.8464,0.4310,0.7357,0.1416,4.5460,0.7534,0.4867,3.0500
1,city_bottleneck_strength,1.0,0.8473,0.4310,0.7348,0.1433,4.5983,0.7534,0.4867,3.0500
1,min_graph_width,1,0.7727,0.4484,0.6634,0.1013,3.1143,0.7658,0.4519,2.1000
1,min_graph_width,2,0.8035,0.4148,0.7260,0.1097,3.3794,0.7842,0.4614,2.9500
1,min_graph_width,3,0.8488,0.4168,0.7596,0.1093,3.4036,0.7844,0.5098,2.9500
